EOS_id,Drug_name,MoA,Target_name,is_hit_3D,n_features_active,activity_RMS_2D,activity_RMS_3D,rank_2D_n_active_pct,rank_2D_RMS_pct,rank_3D_RMS_pct
EOS100542,AMG-18,,Serine/threonine-protein kinase/endoribonuclease IRE1;Mitogen-activated protein kinase 10,False,131,2.7602998058341472,1.1959817324551036,45.78231292517007,52.244897959183675,69.52380952380952
EOS102437,DIPHYLLIN,,Prelamin-A/C;Huntingtin;Retinal dehydrogenase 1;Nuclear receptor ROR-gamma;Microtubule-associated protein tau;15-hydroxyprostaglandin dehydrogenase [NAD(+)];Lysine-specific demethylase 4E;Lethal factor;Neuropeptide S receptor;ATP-dependent molecular chaperone HSP82,False,239,4.189822588756155,1.8036722139290962,81.9047619047619,83.40136054421768,90.74829931972789
EOS102420,SID 7969543,,Thyrotropin receptor;Cruzipain;3-hydroxyacyl-CoA dehydrogenase type-2;Lysine-specific demethylase 4E;Retinal dehydrogenase 1;Steroidogenic factor 1,False,77,1.907916948649467,0.7152498355467746,25.102040816326532,19.86394557823129,15.374149659863946
EOS100595,AFATINIB,inhibitor,"Epidermal growth factor receptor;Receptor tyrosine-protein kinase erbB-2;Tyrosine-protein kinase Blk;Receptor tyrosine-protein kinase erbB-3;Mitogen-activated protein kinase 14;Adenosine kinase;Receptor-type tyrosine-protein kinase FLT3;Ribosomal protein S6 kinase alpha-6;MAP kinase-interacting serine/threonine-protein kinase 2;Ephrin type-A receptor 6;Dual specificity mitogen-activated protein kinase kinase 5;Myosin light chain kinase, smooth muscle;Tyrosine-protein kinase TXK;Dual specificity tyrosine-phosphorylation-regulated kinase 1B;Casein kinase I isoform epsilon;Dual specificity tyrosine-phosphorylation-regulated kinase 1A;Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform;STE20-like serine/threonine-protein kinase;Ephrin type-B receptor 6;Tyrosine-protein kinase FRK;MAP kinase-interacting serine/threonine-protein kinase 1;Tyrosine-protein kinase HCK;Hepatocyte growth factor receptor;Phosphorylase b kinase gamma catalytic chain, liver/testis isoform;Receptor tyrosine-protein kinase erbB-4;Interleukin-1 receptor-associated kinase 1;Mitogen-activated protein kinase 9;Mitogen-activated protein kinase 11;Dual specificity tyrosine-phosphorylation-regulated kinase 2;Serine/threonine-protein kinase 17A;Tyrosine-protein kinase ABL1;Serine/threonine-protein kinase SBK1;Tyrosine-protein kinase receptor UFO;MAP kinase-activated protein kinase 2;Cyclin-G-associated kinase;Serine/threonine-protein kinase 10;Proto-oncogene tyrosine-protein kinase LCK;Citron Rho-interacting kinase;Receptor-interacting serine/threonine-protein kinase 2;Proto-oncogene tyrosine-protein kinase Src;Mitogen-activated protein kinase 10;Homeodomain-interacting protein kinase 4",False,177,3.0926208408858114,1.7276690035157445,58.77551020408164,60.816326530612244,88.57142857142857
EOS100590,PF-3845,inhibitor,Fatty-acid amide hydrolase 1,False,152,2.7175136827065334,1.0687172199580217,51.63265306122449,51.156462585034014,59.455782312925166
EOS100586,CHLORHEXIDINE,,Microtubule-associated protein tau;Cytochrome P450 2D6;4'-phosphopantetheinyl transferase ffp;Hexokinase HKDC1;CAAX prenyl protease 2;72 kDa type IV collagenase;Cytochrome P450 2C9;Lysosomal acid glucosylceramidase;Cytochrome P450 1A2;Paired box protein Pax-8;Solute carrier family 22 member 1;Multidrug and toxin extrusion protein 2;Solute carrier family 22 member 3;Melanocortin receptor 4;Solute carrier family 22 member 2;Synaptojanin-2;ATP-dependent molecular chaperone HSP82;Hypoxia-inducible factor 1-alpha;Huntingtin;Cruzipain;Trypanothione reductase;Nuclear receptor ROR-gamma;Mitogen-activated protein kinase 1;Cellular tumor antigen p53;Bloom syndrome protein;Ubiquitin carboxyl-terminal hydrolase 2;Menin/Histone-lysine N-methyltransferase MLL;Polyunsaturated fatty acid lipoxygenase ALOX15;Cytochrome P450 3A4;Matrix metalloproteinase-9;Thyrotropin receptor;Ubiquitin-conjugating enzyme E2 N;DNA repair protein RAD52 homolog;Cytochrome P450 2C19;Lethal factor;Prelamin-A/C;Multidrug and toxin extrusion protein 1,False,100,2.3697229339210386,0.6368326295318825,34.08163265306122,40.0,5.850340136054422
EOS100581,BMS-754807,inhibitor,Protein-tyrosine kinase 2-beta;Insulin-like growth factor 1 receptor;RAC-alpha serine/threonine-protein kinase;Multidrug resistance-associated protein 1;ATP-dependent translocase ABCB1;5'-AMP-activated protein kinase subunit gamma-2;Cytochrome P450 2C19;Receptor-type tyrosine-protein kinase FLT3;Aurora kinase A;Serine/threonine-protein kinase PLK4;Hepatocyte growth factor receptor;Serine/threonine-protein kinase LMTK3;Serine/threonine-protein kinase Nek9;Cytochrome P450 3A4;Ephrin type-A receptor 2;BDNF/NT-3 growth factors receptor;Focal adhesion kinase 1;5'-AMP-activated protein kinase catalytic subunit alpha-1;High affinity nerve growth factor receptor;Non-receptor tyrosine-protein kinase TNK1;5'-AMP-activated protein kinase subunit gamma-1;Cytochrome P450 2C9;Cyclin-dependent kinase 2/cyclin E;Tyrosine-protein kinase Fer;Epithelial discoidin domain-containing receptor 1;Aurora kinase B;Insulin receptor;Tyrosine-protein kinase Fes/Fps;Proto-oncogene tyrosine-protein kinase receptor Ret;Broad substrate specificity ATP-binding cassette transporter ABCG2,False,258,4.234245216316059,1.6256637363591253,85.71428571428571,83.80952380952381,86.53061224489797
EOS100579,7-ETHYL-10-HYDROXYCAMPTOTHECIN,inhibitor,DNA topoisomerase 1;Cytochrome P450 3A4;Broad substrate specificity ATP-binding cassette transporter ABCG2,False,261,4.239725474939099,1.0878784219853541,86.80272108843538,83.94557823129252,60.952380952380956
EOS100578,VARLITINIB,inhibitor,"Receptor-interacting serine/threonine-protein kinase 2;Tyrosine-protein kinase Yes;Receptor tyrosine-protein kinase erbB-2;Ferrochelatase, mitochondrial;Epidermal growth factor receptor;Receptor-interacting serine/threonine-protein kinase 3;Receptor tyrosine-protein kinase erbB-4",False,200,3.6098258345624954,0.7367199014643473,67.75510204081633,72.6530612244898,17.687074829931973
EOS100575,SERTINDOLE,antagonist;inhibitor;antagonist;inverse agonist,Potassium voltage-gated channel subfamily H member 2;D(1A) dopamine receptor;Bile salt export pump;5-hydroxytryptamine receptor 6;ATP-dependent translocase ABCB1;Sodium channel alpha subunit;Alpha-1B adrenergic receptor;Potassium voltage-gated channel subfamily A member 5;Alpha-1D adrenergic receptor;Adrenergic receptor alpha-2;5-hydroxytryptamine receptor 1F;5-hydroxytryptamine receptor 1E;Voltage-gated L-type calcium channel;5-hydroxytryptamine receptor 2A;Alpha-1A adrenergic receptor;Serotonin 2 (5-HT2) receptor;5-hydroxytryptamine receptor 1A;5-hydroxytryptamine receptor 2C;5-hydroxytryptamine receptor 1D;Adrenergic receptor alpha-1;D(3) dopamine receptor;D(2) dopamine receptor;5-hydroxytryptamine receptor 1B;Histamine H1 receptor;D(4) dopamine receptor;Serotonin 2 receptors; 5-HT2a & 5-HT2c,False,225,3.8223772034104444,1.564131632995361,77.41496598639456,77.9591836734694,85.4421768707483
EOS100550,ATGLISTATIN,,Patatin-like phospholipase domain-containing protein 2,False,44,1.7664716367531075,0.9066097284810479,3.4693877551020407,11.564625850340136,41.76870748299319
EOS100536,TYRPHOSTIN A9,,Thyrotropin receptor;Hypoxia-inducible factor 1-alpha;Beta-lactamase;Cytochrome P450 2C9;15-hydroxyprostaglandin dehydrogenase [NAD(+)];Lethal factor;Ferritin light chain;Nuclear factor NF-kappa-B p105 subunit;Cytochrome P450 1A2;ATP-dependent DNA helicase Q1;Cytochrome P450 3A4;Cellular tumor antigen p53;Bloom syndrome protein;Peripheral myelin protein 22;Cytochrome P450 2C19;Retinal dehydrogenase 1;3-hydroxyacyl-CoA dehydrogenase type-2;Neuropeptide S receptor;Microtubule-associated protein tau;Polyunsaturated fatty acid lipoxygenase ALOX15;Thioredoxin glutathione reductase;Prelamin-A/C;Menin/Histone-lysine N-methyltransferase MLL;Geminin;Thrombopoietin;Muscarinic acetylcholine receptor M1;4'-phosphopantetheinyl transferase ffp;Serine/threonine-protein kinase mTOR,False,188,3.2709355138709166,1.4503929786276597,63.06122448979592,64.21768707482994,81.9047619047619
