"﻿pdid","EOS","Bioactive_Plate","EUopen_name","EUopen_smiles","EUopen_inchi","EUopen_inchikey","EUopen_no. targets","EUopen_cas","EUopen_synonyms","EUopen_mw","EUopen_target_name","EUopen_gene_name","EUopen_target_type","EUopen_moa","EUopen_GTOPDB [LEVEL 1]","EUopen_GTOPDB [LEVEL 2]","EUopen_GTOPDB [LEVEL 3]","EUopen_GTOPDB [LEVEL 4]","EUopen_GTOPDB [LEVEL 5]","EUopen_GTOPDB [LEVEL 6]","EUopen_ChEMBL [LEVEL 1]","EUopen_ChEMBL [LEVEL 2]","EUopen_ChEMBL [LEVEL 3]","EUopen_ChEMBL [LEVEL 4]","EUopen_ChEMBL [LEVEL 5]","EUopen_ChEMBL [LEVEL 6]","EUopen_Reactome [LEVEL 1]","EUopen_Reactome [LEVEL 2]","EUopen_Reactome [LEVEL 3]","EUopen_Reactome [LEVEL 4]","EUopen_Reactome [LEVEL 5]","EUopen_Reactome [LEVEL 6]","EUopen_Reactome [LEVEL 7]","EUopen_Reactome [LEVEL 8]","EUopen_Reactome [LEVEL 9]","Plate","Well","Compound","Concentration_uM","Well_type"
"PD012249","EOS101708","B1005","T863","CC1(C)Oc2ncnc(N)c2N=C1c1ccc([C@H]2CC[C@H](CC(=O)O)CC2)cc1","InChI=1S/C22H26N4O3/c1-22(2)19(26-18-20(23)24-12-25-21(18)29-22)16-9-7-15(8-10-16)14-5-3-13(4-6-14)11-17(27)28/h7-10,12-14H,3-6,11H2,1-2H3,(H,27,28)(H2,23,24,25)/t13-,14-","FUIYMYNYUHVDPT-HDJSIYSDSA-N",2,"701232-20-4","DGAT-3;T863 (DGAT-3);DGAT-1 inhibitor;T863;T-863",394.2,"Diacylglycerol O-acyltransferase 1;Sterol O-acyltransferase 1","DGAT1;SOAT1","single protein","inhibitor","Enzyme","Transferase",,,,,"Enzymes","2.3.1.-  Acyltransferases",,,,,"Metabolism;Transport of small molecules","Metabolism of lipids;Plasma lipoprotein assembly, remodeling, and clearance","Phospholipid metabolism;Plasma lipoprotein clearance","Glycerophospholipid biosynthesis;LDL clearance","Acyl chain remodeling of DAG and TAG",,,,,"C2387","P01","EOS101708",10,"compound"
"PD012250","EOS100934","B1003","KIN001-266","CCN1CCC(n2cc(CNc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)nn2)CC1","InChI=1S/C26H25Cl2FN8/c1-2-36-7-5-20(6-8-36)37-15-19(34-35-37)14-31-18-9-21-25(33-17-3-4-24(29)22(27)10-17)16(12-30)13-32-26(21)23(28)11-18/h3-4,9-11,13,15,20,31H,2,5-8,14H2,1H3,(H,32,33)","PHNZIIMWDVXPGG-UHFFFAOYSA-N",4,"915363-56-3","KIN001-266;Cot inhibitor-2",538.16,"MAP kinase-activated protein kinase 2;Proto-oncogene tyrosine-protein kinase Src;Epidermal growth factor receptor;Mitogen-activated protein kinase kinase kinase 8","MAPKAPK2;SRC;EGFR;MAP3K8","single protein",,"Enzyme","Kinase","Protein Kinase","TK protein kinase group;CAMK protein kinase group;STE protein kinase group","CAMK protein kinase MAPKAPK family;Tyrosine protein kinase Src family;Tyrosine protein kinase EGFR family;STE protein kinase STE11 family","CAMK protein kinase MAPKAPK subfamily","Enzymes;Receptors","Kinases (EC 2.7.x.x);Catalytic receptors","Receptor kinases;CAMK: Calcium/calmodulin-dependent protein kinases;STE: Homologs of yeast Sterile 7, Sterile 11, Sterile 20 kinases","TK: Tyrosine kinase;MAPK-Activated Protein Kinase (MAPKAPK) family;STE-unique family","MAPKAPK subfamily;Non-receptor tyrosine kinases (nRTKs);Receptor tyrosine kinases (RTKs)","Src family;Type I RTKs: ErbB (epidermal growth factor) receptor family","Immune System;Signal Transduction","Innate Immune System;Signaling by Receptor Tyrosine Kinases;Signaling by GPCR;Cytokine Signaling in Immune system","Toll-like Receptor Cascades;Signaling by NTRKs;GPCR downstream signalling;Signaling by Interleukins","Toll Like Receptor 5 (TLR5) Cascade;Signaling by NTRK1 (TRKA);G alpha (q) signalling events;Interleukin-1 family signaling","MyD88 cascade initiated on plasma membrane;Signalling to ERKs;Gastrin-CREB signalling pathway via PKC and MAPK;Interleukin-1 signaling","MAP kinase activation;Signalling to RAS;EGFR Transactivation by Gastrin;MAP3K8 (TPL2)-dependent MAPK1/3 activation","MAPK targets/ Nuclear events mediated by MAP kinases;p38MAPK events","CREB phosphorylation",,"C2387","A02","EOS100934",10,"compound"
"PD012251","EOS100199","B1001","COT INHIBITOR-1","N#Cc1cnc2c(Cl)cc(NCc3cn(CCN4CCCCCC4)nn3)cc2c1Nc1ccc(F)c(Cl)c1","InChI=1S/C27H27Cl2FN8/c28-23-12-19(5-6-25(23)30)34-26-18(14-31)15-33-27-22(26)11-20(13-24(27)29)32-16-21-17-38(36-35-21)10-9-37-7-3-1-2-4-8-37/h5-6,11-13,15,17,32H,1-4,7-10,16H2,(H,33,34)","ZWFKJFUFYPOTKL-UHFFFAOYSA-N",1,"915365-57-0","Cot inhibitor-1",552.17,"Mitogen-activated protein kinase kinase kinase 8","MAP3K8","single protein",,"Enzyme","Kinase","Protein Kinase","STE protein kinase group","STE protein kinase STE11 family",,"Enzymes","Kinases (EC 2.7.x.x)","STE: Homologs of yeast Sterile 7, Sterile 11, Sterile 20 kinases","STE-unique family",,,"Immune System","Cytokine Signaling in Immune system","Signaling by Interleukins","Interleukin-1 family signaling","Interleukin-1 signaling","MAP3K8 (TPL2)-dependent MAPK1/3 activation",,,,"C2387","B02","EOS100199",10,"compound"
"PD012266","EOS100993","B1003","AZD6738","C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2ccnc3[nH]ccc23)n1","InChI=1S/C20H24N6O2S/c1-13-12-28-10-9-26(13)17-11-16(20(5-6-20)29(2,21)27)24-19(25-17)15-4-8-23-18-14(15)3-7-22-18/h3-4,7-8,11,13,21H,5-6,9-10,12H2,1-2H3,(H,22,23)/t13-,29-/m1/s1","OHUHVTCQTUDPIJ-JYCIKRDWSA-N",2,"1352226-88-0","AZD6738;Ceralasertib",412.17,"Serine/threonine-protein kinase mTOR;Serine/threonine-protein kinase ATR","MTOR;ATR","single protein","inhibitor","Enzyme","Kinase","Protein Kinase","Atypical protein kinase group","Atypical protein kinase PIKK family","Atypical protein kinase FRAP subfamily","Enzymes","Kinases (EC 2.7.x.x)","Atypical","Phosphatidyl inositol 3' kinase-related kinases (PIKK) family","FRAP subfamily;ATR subfamily",,"Gene expression (Transcription);DNA Repair","RNA Polymerase II Transcription;DNA Double-Strand Break Repair","Generic Transcription Pathway;Homology Directed Repair","Transcriptional Regulation by TP53;HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)","Regulation of TP53 Activity;HDR through Homologous Recombination (HRR)","Regulation of TP53 Expression and Degradation;Homologous DNA Pairing and Strand Exchange","Regulation of TP53 Degradation;Presynaptic phase of homologous DNA pairing and strand exchange",,,"C2387","C02","EOS100993",10,"compound"
"PD012268","EOS100553","B1002","LMK 235","Cc1cc(C)cc(C(=O)NOCCCCCC(=O)NO)c1","InChI=1S/C15H22N2O4/c1-11-8-12(2)10-13(9-11)15(19)17-21-7-5-3-4-6-14(18)16-20/h8-10,20H,3-7H2,1-2H3,(H,16,18)(H,17,19)","VRYZCEONIWEUAV-UHFFFAOYSA-N",8,"1418033-25-6","LMK235;LMK 235;LMK-235",294.16,"Histone deacetylase 2;Histone deacetylase 4;Histone deacetylase 11;Histone deacetylase 6;Histone deacetylase 1;Histone deacetylase 8;Histone deacetylase 5;Histone deacetylase","HDAC2;HDAC4;HDAC11;HDAC6;HDAC1;HDAC8;HDAC5;HDAC1;HDAC10;HDAC11;HDAC2;HDAC3;HDAC4;HDAC5;HDAC6;HDAC7;HDAC8;HDAC9","single protein;protein family",,"Epigenetic regulator","Eraser","Histone deacetylase","HDAC class I;HDAC class IIa;HDAC class IV;HDAC class IIb",,,"Enzymes","Chromatin modifying enzymes","3.5.1.- Histone deacetylases (HDACs)",,,,"Gene expression (Transcription);Disease;Cell Cycle","RNA Polymerase II Transcription;Diseases of signal transduction by growth factor receptors and second messengers;Disorders of Developmental Biology;Cell Cycle, Mitotic","Generic Transcription Pathway;Signaling by NOTCH1 in Cancer;Disorders of Nervous System Development;M Phase","Transcriptional regulation by RUNX2;Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer;Transcriptional Regulation by TP53;Pervasive developmental disorders;Mitotic Metaphase and Anaphase","RUNX2 regulates bone development;Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants;Regulation of TP53 Activity;Loss of function of MECP2 in Rett syndrome;Mitotic Anaphase","Regulation of TP53 Activity through Acetylation;RUNX2 regulates chondrocyte maturation;RUNX2 regulates osteoblast differentiation;Loss of MECP2 binding ability to 5mC-DNA;Separation of Sister Chromatids",,,,"C2387","D02","EOS100553",10,"compound"
"PD012349","EOS100488","B1002","MI-773","CC(C)(C)C[C@H]1N[C@@H](C(=O)N[C@H]2CC[C@H](O)CC2)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12","InChI=1S/C29H34Cl2FN3O3/c1-28(2,3)14-22-29(19-12-7-15(30)13-21(19)34-27(29)38)23(18-5-4-6-20(31)24(18)32)25(35-22)26(37)33-16-8-10-17(36)11-9-16/h4-7,12-13,16-17,22-23,25,35-36H,8-11,14H2,1-3H3,(H,33,37)(H,34,38)/t16-,17-,22-,23+,25-,29+/m1/s1","IDKAKZRYYDCJDU-HEVVSWJASA-N",0,"1303607-07-9","MI-773",561.2,,,,,,,,,,,,,,,,,,,,,,,,,,"C2387","E02","EOS100488",10,"compound"
"PD012389","EOS101540","B1005","SR-9009","CCOC(=O)N1CCC(CN(Cc2ccc(Cl)cc2)Cc2ccc([N+](=O)[O-])s2)C1","InChI=1S/C20H24ClN3O4S/c1-2-28-20(25)23-10-9-16(13-23)12-22(11-15-3-5-17(21)6-4-15)14-18-7-8-19(29-18)24(26)27/h3-8,16H,2,9-14H2,1H3","MMJJNHOIVCGAAP-UHFFFAOYSA-N",3,"1379686-30-2;1379686-30-2NO2NO2NO","Stenabolic;SR 9009;SR-9009;REV-ERB Agonist II;SR9009;Stenabolic (SR9009)",437.12,"Nuclear receptor subfamily 1 group D member 1;Oxysterols receptor LXR-alpha;Nuclear receptor subfamily 1 group D member 2","NR1D1;NR1H3;NR1D2","single protein","agonist","Transcription factor","Nuclear receptor","Nuclear hormone receptor subfamily 1","Nuclear hormone receptor subfamily 1 group D;Nuclear hormone receptor subfamily 1 group H","Nuclear hormone receptor subfamily 1 group D member 1;Nuclear hormone receptor subfamily 1 group H member 3;Nuclear hormone receptor subfamily 1 group D member 2",,"Receptors","Nuclear hormone receptors","1D. Rev-Erb receptors;1H. Liver X receptor-like receptors",,,,"Gene expression (Transcription);Metabolism of proteins","RNA Polymerase II Transcription;Post-translational protein modification","Generic Transcription Pathway;SUMOylation","Nuclear Receptor transcription pathway;SUMO E3 ligases SUMOylate target proteins","SUMOylation of intracellular receptors",,,,,"C2387","F02","EOS101540",10,"compound"
"PD012393","EOS100300","B1001","JH-II-127","CNc1[nH]c(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2ncc(Cl)c1-2","InChI=1S/C19H21ClN6O3/c1-21-16-15-12(20)10-22-17(15)25-19(24-16)23-13-4-3-11(9-14(13)28-2)18(27)26-5-7-29-8-6-26/h3-4,9-10H,5-8H2,1-2H3,(H3,21,22,23,24,25)","HUEKBQXFNHWTQQ-UHFFFAOYSA-N",3,"1700693-08-8","JH-II-127",416.14,"Leucine-rich repeat serine/threonine-protein kinase 2;Serine/threonine-protein kinase Chk2;Myosin light chain kinase 3","LRRK2;CHEK2;MYLK3","single protein","inhibitor","Enzyme","Kinase","Protein Kinase","CAMK protein kinase group;TKL protein kinase group","TKL protein kinase LRRK family;CAMK protein kinase RAD53 family;CAMK protein kinase MLCK family",,"Enzymes;Receptors","Kinases (EC 2.7.x.x);Catalytic receptors","CAMK: Calcium/calmodulin-dependent protein kinases;Receptor kinases","TKL: Tyrosine kinase-like;CAMK-like (CAMKL) family;Myosin Light Chain Kinase (MLCK) family","Leucine-rich repeat kinase (LRRK) family;CHK1 subfamily",,"Signal Transduction;Gene expression (Transcription)","Signaling by Non-Receptor Tyrosine Kinases;RNA Polymerase II Transcription","Signaling by PTK6;Generic Transcription Pathway","PTK6 promotes HIF1A stabilization;Transcriptional Regulation by TP53","Regulation of TP53 Activity","Regulation of TP53 Expression and Degradation","Regulation of TP53 Degradation",,,"C2387","G02","EOS100300",10,"compound"
"PD012462","EOS101237","B1004","LY-2090314","O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2","InChI=1S/C28H25FN6O3/c29-18-12-17-15-34(28(38)32-7-3-1-4-8-32)11-10-33-16-20(19(13-18)25(17)33)23-24(27(37)31-26(23)36)21-14-30-22-6-2-5-9-35(21)22/h2,5-6,9,12-14,16H,1,3-4,7-8,10-11,15H2,(H,31,36,37)","HRJWTAWVFDCTGO-UHFFFAOYSA-N",29,"603288-22-8","LY2090314;603288-22-8;LY-2090314;LY2090314",512.2,"Calcium/calmodulin-dependent protein kinase type II subunit delta;Serine/threonine-protein kinase 17A;STE20-like serine/threonine-protein kinase;3-phosphoinositide-dependent protein kinase 1;Cyclin-dependent kinase 1;Serine/threonine-protein kinase pim-1;Protein kinase C gamma type;Serine/threonine-protein kinase 3;Cyclin-dependent kinase 4;Calcium/calmodulin-dependent protein kinase type II subunit beta;SRSF protein kinase 1;Calcium/calmodulin-dependent protein kinase type II subunit gamma;Ribosomal protein S6 kinase alpha-3;Glycogen synthase kinase-3 alpha;Serine/threonine-protein kinase N2;Serine/threonine-protein kinase TAO1;Cyclin-dependent-like kinase 5;Dual specificity protein kinase CLK2;[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial;Glycogen synthase kinase-3 beta;Proto-oncogene tyrosine-protein kinase LCK;Protein kinase C delta type;5'-AMP-activated protein kinase catalytic subunit alpha-1;Cyclin-dependent kinase 2;Serine/threonine-protein kinase pim-3;Dual specificity protein kinase CLK4;MAP/microtubule affinity-regulating kinase 3;Protein kinase C beta type;Dual specificity tyrosine-phosphorylation-regulated kinase 1A","CAMK2D;STK17A;SLK;PDPK1;CDK1;PIM1;PRKCG;STK3;CDK4;CAMK2B;SRPK1;CAMK2G;RPS6KA3;GSK3A;PKN2;TAOK1;CDK5;CLK2;PDK1;GSK3B;LCK;PRKCD;PRKAA1;CDK2;PIM3;CLK4;MARK3;PRKCB;DYRK1A","single protein","inhibitor","Enzyme","Kinase","Protein Kinase","CMGC protein kinase group;CAMK protein kinase group;AGC protein kinase group;STE protein kinase group;TK protein kinase group;Atypical protein kinase group","CAMK protein kinase CAMK2 family;STE protein kinase STE20 family;AGC protein kinase PKC family;CMGC protein kinase CDK family;CAMK protein kinase CAMK1 family;CMGC protein kinase CLK family;CAMK protein kinase PIM family;CMGC protein kinase GSK family;Tyrosine protein kinase Src family;Atypical protein kinase PDHK subfamily;AGC protein kinase PKN family;CAMK protein kinase DAPK family;AGC protein kinase RSK family;CMGC protein kinase SRPK family;AGC protein kinase PDK1 subfamily;CMGC protein kinase DYRK family","AGC protein kinase PKC alpha subfamily;CMGC protein kinase CDC2 subfamily;STE protein kinase TAO subfamily;CAMK protein kinase MARK subfamily;CAMK protein kinase AMPK subfamily;AGC protein kinase PKC delta subfamily;CMGC protein kinase CDK5 subfamily;AGC protein kinase RSK subfamily;STE protein kinase MST subfamily;STE protein kinase SLK subfamily;CMGC protein kinase Dyrk1 subfamily","Enzymes;Receptors","Kinases (EC 2.7.x.x);Catalytic receptors","CMGC: Containing CDK, MAPK, GSK3, CLK families;CAMK: Calcium/calmodulin-dependent protein kinases;AGC: Containing PKA, PKG, PKC families;STE: Homologs of yeast Sterile 7, Sterile 11, Sterile 20 kinases;Receptor kinases;Atypical","Cyclin-dependent kinase (CDK) family;CAMK2 family;STE20 family;Protein kinase C (PKC) family;CAMK-like (CAMKL) family;CLK family;PIM family;Glycogen synthase kinase (GSK) family;TK: Tyrosine kinase;PDHK family;Protein kinase N (PKN) family;Death-associated kinase (DAPK) family;RSK family;SRPK family;PDK1 family;Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase (DYRK) family","Alpha subfamily;CDK1 subfamily;GSK subfamily;TAO subfamily;MARK subfamily;AMPK subfamily;Delta subfamily;Non-receptor tyrosine kinases (nRTKs);CDK5 subfamily;RSK subfamily;CDK4 subfamily;MST subfamily;SLK subfamily;Dyrk1 subfamily","Src family","Disease;Cell Cycle;Neuronal System;Gene expression (Transcription);Signal Transduction;Cellular responses to stimuli;Metabolism;Immune System","Cell Cycle, Mitotic;Transmission across Chemical Synapses;RNA Polymerase II Transcription;Infectious disease;Diseases of signal transduction by growth factor receptors and second messengers;Signaling by Rho GTPases, Miro GTPases and RHOBTB3;Cellular responses to stress;The citric acid (TCA) cycle and respiratory electron transport;Innate Immune System;Signaling by Hippo","Neurotransmitter receptors and postsynaptic signal transmission;Generic Transcription Pathway;SARS-CoV Infections;M Phase;Signaling by Rho GTPases;Mitotic G1 phase and G1/S transition;Oncogenic MAPK signaling;Cellular response to chemical stress;HIV Infection;Pyruvate metabolism and Citric Acid (TCA) cycle;Toll-like Receptor Cascades;FLT3 signaling in disease;Regulation of mitotic cell cycle","Transcriptional Regulation by TP53;Activation of NMDA receptors and postsynaptic events;SARS-CoV-1 Infection;RHO GTPase cycle;Toll Like Receptor 5 (TLR5) Cascade;APC/C-mediated degradation of cell cycle proteins;Signaling by FLT3 ITD and TKD mutants;Glutamate binding, activation of AMPA receptors and synaptic plasticity;G1 Phase;SARS-CoV-2 Infection;Pyruvate metabolism;Mitotic Metaphase and Anaphase;Host Interactions of HIV factors;Cytoprotection by HMOX1;Signaling by RAS mutants;Mitotic Prophase;G0 and Early G1","Regulation of TP53 Activity;Post NMDA receptor activation events;Translation of Structural Proteins;Mitotic Anaphase;Nuclear Envelope Breakdown;Signaling downstream of RAS mutants;Regulation of HMOX1 expression and activity;The role of Nef in HIV-1 replication and disease pathogenesis;Regulation of pyruvate dehydrogenase (PDH) complex;RAC1 GTPase cycle;MyD88 cascade initiated on plasma membrane;Cyclin D associated events in G1;Trafficking of AMPA receptors;STAT5 activation downstream of FLT3 ITD mutants;Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins;RHOA GTPase cycle","CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling;Maturation of nucleoprotein;Regulation of TP53 Expression and Degradation;Regulation of TP53 Activity through Phosphorylation;Separation of Sister Chromatids;Depolymerisation of the Nuclear Lamina;ROS sensing by NFE2L2;Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters;MAP kinase activation;Drug-mediated inhibition of CDK4/CDK6 activity;Trafficking of GluR2-containing AMPA receptors;APC/C:Cdc20 mediated degradation of mitotic proteins","Ras activation upon Ca2+ influx through NMDA receptor;Regulation of TP53 Degradation;Nef Mediated CD4 Down-regulation;MAPK targets/ Nuclear events mediated by MAP kinases;APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","CREB phosphorylation;Cdc20:Phospho-APC/C mediated degradation of Cyclin A",,"C2387","H02","EOS101237",10,"compound"
"PD012470","EOS101590","B1005","BI00645435","C[C@@H]1CCNC(=O)c2cc3ccc(C(=O)Nc4nc5ccccc5n4CCCN(C)C)cc3n21","InChI=1S/C26H30N6O2/c1-17-11-12-27-25(34)23-15-18-9-10-19(16-22(18)32(17)23)24(33)29-26-28-20-7-4-5-8-21(20)31(26)14-6-13-30(2)3/h4-5,7-10,15-17H,6,11-14H2,1-3H3,(H,27,34)(H,28,29,33)/t17-/m1/s1","ZHMXXVNQAFCXKK-QGZVFWFLSA-N",16,"1311367-27-7","BIX 02565;BIX-02565;cpd 24;BI00645435;BIX02565",458.24,"Serine/threonine-protein kinase D2;Dual specificity protein kinase CLK2;Platelet-derived growth factor receptor alpha;Serine/threonine-protein kinase D1;Dual specificity protein kinase CLK1;Leucine-rich repeat serine/threonine-protein kinase 2;Ribosomal protein S6 kinase alpha-3;Serine/threonine-protein kinase D3;Receptor-type tyrosine-protein kinase FLT3;Fibroblast growth factor receptor 2;Ribosomal protein S6 kinase alpha-2;Proto-oncogene tyrosine-protein kinase receptor Ret;Ribosomal protein S6 kinase alpha-6;NUAK family SNF1-like kinase 2;Serine/threonine-protein kinase 17A;Serine/threonine-protein kinase 17B","PRKD2;CLK2;PDGFRA;PRKD1;CLK1;LRRK2;RPS6KA3;PRKD3;FLT3;FGFR2;RPS6KA2;RET;RPS6KA6;NUAK2;STK17A;STK17B","single protein","inhibitor","Enzyme","Kinase","Protein Kinase","CAMK protein kinase group;TK protein kinase group;AGC protein kinase group;CMGC protein kinase group;TKL protein kinase group","CAMK protein kinase PKD family;AGC protein kinase RSK family;CMGC protein kinase CLK family;Tyrosine protein kinase PDGFR family;CAMK protein kinase DAPK family;TKL protein kinase LRRK family;Tyrosine protein kinase FGFR family;Tyrosine protein kinase Ret family;CAMK protein kinase CAMK1 family","AGC protein kinase RSK subfamily;CAMK protein kinase NuaK subfamily","Enzymes;Receptors","Kinases (EC 2.7.x.x);Catalytic receptors","CAMK: Calcium/calmodulin-dependent protein kinases;Receptor kinases;AGC: Containing PKA, PKG, PKC families;CMGC: Containing CDK, MAPK, GSK3, CLK families","TK: Tyrosine kinase;Protein kinase D (PKD) family;RSK family;CLK family;Death-associated kinase (DAPK) family;TKL: Tyrosine kinase-like;CAMK-like (CAMKL) family","Receptor tyrosine kinases (RTKs);RSK subfamily;Leucine-rich repeat kinase (LRRK) family;NuaK subfamily","Type III RTKs: PDGFR, CSFR, Kit, FLT3 receptor family;Type V RTKs: FGF (fibroblast growth factor) receptor family;Type XIV RTKs: RET","Metabolism;Disease;Signal Transduction;Immune System;Developmental Biology;Neuronal System","Metabolism of lipids;Diseases of signal transduction by growth factor receptors and second messengers;Innate Immune System;Signaling by Non-Receptor Tyrosine Kinases;Signaling by Receptor Tyrosine Kinases;Nervous system development;Transmission across Chemical Synapses","Sphingolipid metabolism;Toll-like Receptor Cascades;Signaling by PDGFR in disease;Signaling by PTK6;Signaling by Insulin receptor;Signaling by FGFR in disease;Axon guidance;Neurotransmitter receptors and postsynaptic signal transmission","Sphingolipid de novo biosynthesis;Toll Like Receptor 5 (TLR5) Cascade;Drug resistance of PDGFR mutants;PTK6 promotes HIF1A stabilization;Insulin receptor signalling cascade;Signaling by FGFR2 in disease;RET signaling;Activation of NMDA receptors and postsynaptic events","MyD88 cascade initiated on plasma membrane;Imatinib-resistant PDGFR mutants;IRS-mediated signalling;FGFR2 mutant receptor activation;Post NMDA receptor activation events","MAP kinase activation;PI3K Cascade;Activated point mutants of FGFR2;CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling","MAPK targets/ Nuclear events mediated by MAP kinases;RSK activation","CREB phosphorylation",,"C2387","I02","EOS101590",10,"compound"
"PD012525","EOS101183","B1004","ULIXERTINIB","CC(C)Nc1cc(-c2c[nH]c(C(=O)N[C@H](CO)c3cccc(Cl)c3)c2)c(Cl)cn1","InChI=1S/C21H22Cl2N4O2/c1-12(2)26-20-8-16(17(23)10-25-20)14-7-18(24-9-14)21(29)27-19(11-28)13-4-3-5-15(22)6-13/h3-10,12,19,24,28H,11H2,1-2H3,(H,25,26)(H,27,29)/t19-/m1/s1","KSERXGMCDHOLSS-LJQANCHMSA-N",5,"869886-67-9","ulixertinib;VRT752271;BVD-523;Ulixertinib (BVD-523, VRT752271)",432.11,"Serine/threonine-protein kinase D2;Mitogen-activated protein kinase 1;Mitogen-activated protein kinase 3;Serine/threonine-protein kinase TAO1;Mitogen-activated protein kinase; ERK1/ERK2","PRKD2;MAPK1;MAPK3;TAOK1;MAPK1;MAPK3","single protein;protein family","inhibitor","Enzyme","Kinase","Protein Kinase","CMGC protein kinase group;CAMK protein kinase group;STE protein kinase group","CMGC protein kinase MAPK family;CAMK protein kinase PKD family;STE protein kinase STE20 family","CMGC protein kinase ERK1;STE protein kinase TAO subfamily","Enzymes","Kinases (EC 2.7.x.x)","CMGC: Containing CDK, MAPK, GSK3, CLK families;CAMK: Calcium/calmodulin-dependent protein kinases;STE: Homologs of yeast Sterile 7, Sterile 11, Sterile 20 kinases","Mitogen-activated protein kinases (MAP kinases);Protein kinase D (PKD) family;STE20 family","ERK subfamily;TAO subfamily",,"Immune System;Metabolism;Cell Cycle","Innate Immune System;Metabolism of lipids;Cell Cycle, Mitotic","Toll-like Receptor Cascades;Sphingolipid metabolism;M Phase","Toll Like Receptor 5 (TLR5) Cascade;Sphingolipid de novo biosynthesis;Mitotic Metaphase and Anaphase","MyD88 cascade initiated on plasma membrane;Mitotic Anaphase","MAP kinase activation;Separation of Sister Chromatids","MAPK targets/ Nuclear events mediated by MAP kinases","ERK/MAPK targets","ERKs are inactivated","C2387","J02","EOS101183",10,"compound"
