"﻿pdid","EOS","Bioactive_Plate","EUopen_name","EUopen_smiles","EUopen_inchi","EUopen_inchikey","EUopen_no. targets","EUopen_cas","EUopen_synonyms","EUopen_mw","EUopen_target_name","EUopen_gene_name","EUopen_target_type","EUopen_moa","EUopen_GTOPDB [LEVEL 1]","EUopen_GTOPDB [LEVEL 2]","EUopen_GTOPDB [LEVEL 3]","EUopen_GTOPDB [LEVEL 4]","EUopen_GTOPDB [LEVEL 5]","EUopen_GTOPDB [LEVEL 6]","EUopen_ChEMBL [LEVEL 1]","EUopen_ChEMBL [LEVEL 2]","EUopen_ChEMBL [LEVEL 3]","EUopen_ChEMBL [LEVEL 4]","EUopen_ChEMBL [LEVEL 5]","EUopen_ChEMBL [LEVEL 6]","EUopen_Reactome [LEVEL 1]","EUopen_Reactome [LEVEL 2]","EUopen_Reactome [LEVEL 3]","EUopen_Reactome [LEVEL 4]","EUopen_Reactome [LEVEL 5]","EUopen_Reactome [LEVEL 6]","EUopen_Reactome [LEVEL 7]","EUopen_Reactome [LEVEL 8]","EUopen_Reactome [LEVEL 9]","Rank","EOS_id","Hit_category","Phenotype","Activity_score","Replicate_correlation","N_replicates","Replicates_used","AreaShape_Area_zscore","InChIKey","SMILES","Formula","Molecular_weight","LogP","TPSA","HBA","HBD","Rotatable_bonds","Violates_RO5","PubChem_CID","ChEMBL_ID","ZINC_ID","InChI"
"PD000034","EOS101498","B1005","A-196","Clc1cc2c(NC3CCCC3)nnc(-c3ccncc3)c2cc1Cl","InChI=1S/C18H16Cl2N4/c19-15-9-13-14(10-16(15)20)18(22-12-3-1-2-4-12)24-23-17(13)11-5-7-21-8-6-11/h5-10,12H,1-4H2,(H,22,24)","ABGOSOMRWSYAOB-UHFFFAOYSA-N",2,"1982372-88-2","A 196;A-196;A196;S7983",358.08,"Histone-lysine N-methyltransferase KMT5C;Histone-lysine N-methyltransferase KMT5B","KMT5C;KMT5B","single protein","inhibitor","Epigenetic regulator","Writer","Protein methyltransferase",,,,"Enzymes","Chromatin modifying enzymes","2.1.1.43 Histone methyltransferases (HMTs)",,,,"Chromatin organization","Chromatin modifying enzymes","PKMTs methylate histone lysines",,,,,,,11,"EOS101498","confirmed_hit","cytotoxic_compact",2.586224634561164,0.4439468206216041,4,"C2386R1,C2386R2,C2386R3,C2386R4",-2.3021537993047048,"ABGOSOMRWSYAOB-UHFFFAOYSA-N","Clc1cc2c(NC3CCCC3)nnc(-c3ccncc3)c2cc1Cl","C18H16Cl2N4",359.260009765625,5.353099822998047,50.70000076293945,4,1,3,1,"CID117072548",,"ZINC000521836458","InChI=1S/C18H16Cl2N4/c19-15-9-13-14(10-16(15)20)18(22-12-3-1-2-4-12)24-23-17(13)11-5-7-21-8-6-11/h5-10,12H,1-4H2,(H,22,24)"
"PD001319","EOS100636","B1002","IMATINIB","Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1","InChI=1S/C29H31N7O/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34)","KTUFNOKKBVMGRW-UHFFFAOYSA-N",81,"152459-95-5;1080014-82-9","IMATINIB;Gleevec, Imatinib mesylate, STI-571;Gleevec,STI-571;CGP057148B;Glivec;CGP 57148;Gleevec;STI571;ST-1571;CGP-57148B;STI-571;IMATINIB MESYLATE;Imatinib (STI571) ;STI571, Glivec;4-[(4-Methyl-1-piperazinyl)methyl]-N-[4-methyl-3-[[4-(3-pyridinyl)-2-pyrimidinyl]amino]-phenyl]benzamide",493.26,"Carbonic anhydrase 15;Epidermal growth factor receptor;Carbonic anhydrase 13;Carbonic anhydrase 14;Carbonic anhydrase 12;Carbonic anhydrase 7;Lysine--tRNA ligase;Bile salt export pump;Carbonic anhydrase 1;Mitogen-activated protein kinase 10;Tyrosine-protein kinase Blk;Serine/threonine-protein kinase PLK4;Prelamin-A/C;Cruzipain;Albumin;Serine/threonine-protein kinase TNNI3K;Casein kinase II subunit alpha';Carbonic anhydrase 6;Carbonic anhydrase 2;Maternal embryonic leucine zipper kinase;Tyrosine-protein kinase Fgr;Nuclear receptor ROR-gamma;Multidrug and toxin extrusion protein 2;RET proto-oncogene;Solute carrier family 22 member 3;Thromboxane-A synthase;5-hydroxytryptamine receptor 2A;Sodium-dependent serotonin transporter;Histamine H2 receptor;Solute carrier family 22 member 2;Broad substrate specificity ATP-binding cassette transporter ABCG2;Breakpoint cluster region protein;Multidrug and toxin extrusion protein 1;DNA repair protein RAD52 homolog;Cytochrome P450 3A4;Homeodomain-interacting protein kinase 4;Serine/threonine-protein kinase TAO1;Tyrosine-protein kinase Lyn;ATP-dependent RNA helicase DDX3X;Tyrosine-protein kinase SYK;Receptor-type tyrosine-protein kinase FLT3;Discoidin domain-containing receptor 2;Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma;Bcr/Abl fusion protein;Epithelial discoidin domain-containing receptor 1;Mitogen-activated protein kinase 8;Cyclin-G-associated kinase;Proto-oncogene tyrosine-protein kinase LCK;Tyrosine-protein kinase ABL;Cyclin-dependent kinase 19;Ephrin type-A receptor 8;Tyrosine-protein kinase ABL2;Ribosyldihydronicotinamide dehydrogenase [quinone];Carbonic anhydrase 5B, mitochondrial;Carbonic anhydrase 4;Carbonic anhydrase 3;Platelet-derived growth factor receptor;Proto-oncogene tyrosine-protein kinase Src;Tyrosine-protein kinase ABL1;Macrophage colony-stimulating factor 1 receptor;Interleukin-1 receptor-associated kinase 1;Tyrosine-protein kinase FRK;Serine/threonine-protein kinase 17A;Dual specificity protein kinase CLK4;Mitogen-activated protein kinase kinase kinase 20;Carbonic anhydrase 5A, mitochondrial;Serine/threonine-protein kinase B-raf;Vascular endothelial growth factor receptor 2;Dual specificity protein kinase CLK1;ATP-dependent translocase ABCB1;Platelet-derived growth factor receptor alpha;Tyrosine-protein kinase Fyn;Mitogen-activated protein kinase 14;Mitogen-activated protein kinase 9;MAP kinase p38;RAF proto-oncogene serine/threonine-protein kinase;Non-receptor tyrosine-protein kinase TYK2;Mast/stem cell growth factor receptor Kit;Platelet-derived growth factor receptor beta;Carbonic anhydrase 9;High affinity nerve growth factor receptor","CA15;DDR2;CA13;CA14;CA12;CA7;KARS1;ABCB11;CA1;MAPK10;BLK;PLK4;LMNA;ALB;TNNI3K;CSNK2A2;CA6;CA2;SYK;MELK;FGR;RORC;SLC47A2;RET;SLC22A3;TBXAS1;HTR2A;SLC6A4;HRH2;SLC22A2;ABCG2;BCR;SLC47A1;RAD52;CYP3A4;HIPK4;TAOK1;LYN;DDX3X;EGFR;FLT3;PIP4K2C;ABL2;DDR1;MAPK8;GAK;LCK;ABL1;ABL2;CDK19;EPHA8;NQO2;IRAK1;CA5B;CA4;CA3;PDGFRA;PDGFRB;SRC;ABL1;CSF1R;ABL1;BCR;FRK;MAP3K20;FYN;CA5A;BRAF;KDR;CLK1;ABCB1;PDGFRA;CLK4;MAPK9;STK17A;MAPK11;MAPK12;MAPK13;MAPK14;RAF1;TYK2;KIT;PDGFRB;CA9;MAPK14;NTRK1","single protein;protein family;protein complex;chimeric protein","antagonist;inhibitor;inhibitor","Enzyme;Transporter;Other nuclear protein;Membrane receptor;Secreted protein;Transcription factor","Kinase;Lyase;Electrochemical transporter;Primary active transporter;Cytochrome P450;Family A G protein-coupled receptor;Oxidoreductase;Transferase;Protease;Nuclear receptor","Protein Kinase;SLC superfamily of solute carriers;ATP-binding cassette;Small molecule receptor (family A GPCR);Cysteine protease;Nuclear hormone receptor subfamily 1;Cytochrome P450 family 3;Cytochrome P450 family 5","TK protein kinase group;CMGC protein kinase group;TKL protein kinase group;Other protein kinase group;Atypical protein kinase group;CAMK protein kinase group;ABCB subfamily;Monoamine receptor;SLC22 family of organic cation and anion transporters;SLC47 family of multidrug and toxin extrusion transporters;ABCG subfamily;SLC06 neurotransmitter transporter family;Nuclear hormone receptor subfamily 1 group F;Cytochrome P450 family 3A;STE protein kinase group;Cysteine protease CA clan;Cytochrome P450 family 5A","Tyrosine protein kinase Src family;Tyrosine protein kinase PDGFR family;CMGC protein kinase MAPK family;Tyrosine protein kinase Abl family;Tyrosine protein kinase DDR family;Atypical protein kinase BCR family;CMGC protein kinase CLK family;TKL protein kinase RAF family;TKL protein kinase MLK family;TKL protein kinase IRAK family;Other protein kinase PLK family;Cytochrome P450 5A1;Serotonin receptor;Histamine receptor;Cytochrome P450 3A4;CMGC protein kinase DYRK family;STE protein kinase STE20 family;Nuclear hormone receptor subfamily 1 group F member 3;CAMK protein kinase CAMK1 family;Cysteine protease C1A family;CAMK protein kinase DAPK family;Other protein kinase CK2 family;Tyrosine protein kinase Syk family;Tyrosine protein kinase EGFR family;Tyrosine protein kinase Eph family;Tyrosine protein kinase VEGFR family;CMGC protein kinase CDK family;Other protein kinase NAK family;Tyrosine protein kinase JakA family;Tyrosine protein kinase Trk family","CMGC protein kinase JNK subfamily;CMGC protein kinase p38 subfamily;CMGC protein kinase CDK8 subfamily;Tyrosine protein kinase SrcA;TKL protein kinase MLK subfamily;TKL protein kinase HH498 subfamily;CAMK protein kinase MELK subfamily;STE protein kinase TAO subfamily;CMGC protein kinase HIPK subfamily","Receptors;Enzymes;Transporters","Catalytic receptors;Kinases (EC 2.7.x.x);Carbonic anhydrases;SLC superfamily of solute carriers;ATP-binding cassette transporter family;Cytochrome P450;G protein-coupled receptors;Nuclear hormone receptors","Receptor kinases;CMGC: Containing CDK, MAPK, GSK3, CLK families;CAMK: Calcium/calmodulin-dependent protein kinases;ABCB subfamily;SLC47 family of multidrug and toxin extrusion transporters;SLC22 family of organic cation and anion transporters;Lipid modifying kinases;1F. Retinoic acid-related orphans;Atypical;STE: Homologs of yeast Sterile 7, Sterile 11, Sterile 20 kinases;CYP3 family;ABCG subfamily;Histamine receptors;SLC6 neurotransmitter transporter family;5-Hydroxytryptamine receptors;CYP5, CYP7 and CYP8 families","TK: Tyrosine kinase;TKL: Tyrosine kinase-like;Mitogen-activated protein kinases (MAP kinases);Other protein kinases;CLK family;Organic cation transporters (OCT);Cyclin-dependent kinase (CDK) family;Death-associated kinase (DAPK) family;Type II PIP kinases (1-phosphatidylinositol-5-phosphate 4-kinase family);CAMK-like (CAMKL) family;BCR family;STE20 family;Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase (DYRK) family;Monoamine transporter subfamily","Receptor tyrosine kinases (RTKs);Non-receptor tyrosine kinases (nRTKs);JNK subfamily;RAF family;Mixed Lineage Kinase (MLK) family;CDK8 subfamily;Numb-associated kinase (NAK) family;Interleukin-1 receptor-associated kinase (IRAK) family;p38 subfamily;Casein kinase 2 (CK2) family;Polo-like kinase (PLK) family;MELK subfamily;TAO subfamily;HIPK subfamily","Src family;Type III RTKs: PDGFR, CSFR, Kit, FLT3 receptor family;Type XVI RTKs: DDR (collagen receptor) family;Abl family;Type XIII RTKs: Ephrin receptor family;Janus kinase (JakA) family;Type IV RTKs: VEGF (vascular endothelial growth factor) receptor family;MLK subfamily;Type I RTKs: ErbB (epidermal growth factor) receptor family;Syk family;HH498 subfamily;Type VII RTKs: Neurotrophin receptor/Trk family","Metabolism;Disease;Signal Transduction;Immune System;Transport of small molecules;Gene expression (Transcription);Cell Cycle;Extracellular matrix organization;Developmental Biology;Cellular responses to stimuli;Drug ADME;Vesicle-mediated transport;Metabolism of proteins;DNA Repair;Neuronal System","Reversible hydration of carbon dioxide;Infectious disease;Innate Immune System;Signaling by Receptor Tyrosine Kinases;SLC-mediated transmembrane transport;Metabolism of lipids;RNA Polymerase II Transcription;Diseases of signal transduction by growth factor receptors and second messengers;Cell Cycle, Mitotic;Non-integrin membrane-ECM interactions;Signaling by GPCR;Abacavir ADME;Cytokine Signaling in Immune system;Intracellular signaling by second messengers;Cellular responses to stress;Nervous system development;Biological oxidations;O2/CO2 exchange in erythrocytes;MAPK family signaling cascades;Membrane Trafficking;Translation;DNA Double-Strand Break Repair;Transmission across Chemical Synapses","Toll-like Receptor Cascades;Leishmania infection;Generic Transcription Pathway;Transport of bile salts and organic acids, metal ions and amine compounds;Signaling by NTRKs;M Phase;Metabolism of steroids;PIP3 activates AKT signaling;Abacavir transmembrane transport;Axon guidance;HIV Infection;Erythrocytes take up carbon dioxide and release oxygen;Phase I - Functionalization of compounds;Neurotransmitter clearance;Homology Directed Repair;Biosynthesis of specialized proresolving mediators (SPMs);Neutrophil degranulation;Signaling by FGFR in disease;tRNA Aminoacylation;Signaling by Interleukins;Mitotic G2-G2/M phases;trans-Golgi Network Vesicle Budding;Cellular response to chemical stress;GPCR downstream signalling;Signaling by Insulin receptor;Signaling by VEGF;Regulation of lipid metabolism by PPARalpha;Signaling by PDGFR in disease;MAPK1/MAPK3 signaling;Interferon Signaling;Signaling by KIT in disease;Cellular response to hypoxia;GPCR ligand binding","Toll Like Receptor 5 (TLR5) Cascade;Leishmania parasite growth and survival;Signaling by NTRK1 (TRKA);Bile acid and bile salt metabolism;Mitotic Metaphase and Anaphase;Organic cation/anion/zwitterion transport;Host Interactions of HIV factors;Transcriptional Regulation by VENTX;Cytosolic tRNA aminoacylation;G2/M Transition;Transcriptional regulation by RUNX1;Interleukin-12 family signaling;Biosynthesis of DHA-derived SPMs;Transcriptional regulation by RUNX3;Signaling by FGFR1 in disease;HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA);Serotonin clearance from the synaptic cleft;Class A/1 (Rhodopsin-like receptors);Cytoprotection by HMOX1;Insulin receptor signalling cascade;G alpha (q) signalling events;Parasite infection;Transcriptional Regulation by TP53;VEGFA-VEGFR2 Pathway;Drug resistance of PDGFR mutants;RAF/MAP kinase cascade;Interferon alpha/beta signaling;Drug resistance of KIT mutants;Negative regulation of the PI3K/AKT network;Regulation of gene expression by Hypoxia-inducible Factor;PTEN Regulation;Golgi Associated Vesicle Biogenesis;PPARA activates gene expression;EPH-Ephrin signaling;Signaling by ROBO receptors;Cytochrome P450 - arranged by substrate type","MyD88 cascade initiated on plasma membrane;Anti-inflammatory response favouring Leishmania parasite infection;Signalling to ERKs;Organic cation transport;The role of Nef in HIV-1 replication and disease pathogenesis;Mitotic Anaphase;Synthesis of bile acids and bile salts;Centrosome maturation;RUNX1 regulates transcription of genes involved in BCR signaling;Interleukin-12 signaling;Leishmania phagocytosis;RUNX3 Regulates Immune Response and Cell Migration;Recycling of bile acids and salts;Biosynthesis of maresins;HDR through Single Strand Annealing (SSA);Amine ligand-binding receptors;FGFR1 mutant receptor activation;Gastrin-CREB signalling pathway via PKC and MAPK;Regulation of HMOX1 expression and activity;IRS-mediated signalling;Regulation of TP53 Activity;VEGFR2 mediated cell proliferation;Imatinib-resistant PDGFR mutants;Negative regulation of MAPK pathway;Regulation of IFNA/IFNB signaling;Dasatinib-resistant KIT mutants;PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;Regulation of PTEN stability and activity;EPHA-mediated growth cone collapse;Role of ABL in ROBO-SLIT signaling;Eicosanoids","MAP kinase activation;FCGR3A-mediated IL10 synthesis;Prolonged ERK activation events;Nuclear Envelope (NE) Reassembly;ADORA2B mediated anti-inflammatory cytokines production;Biosynthesis of maresin-like SPMs;Separation of Sister Chromatids;Signaling by cytosolic FGFR1 fusion mutants;Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation;Loss of proteins required for interphase microtubule organization from the centrosome;FCGR3A-mediated phagocytosis;ROS sensing by NFE2L2;Signalling to RAS;EGFR Transactivation by Gastrin;PI3K Cascade;Regulation of TP53 Activity through Acetylation;Nef and signal transduction;Negative feedback regulation of MAPK pathway;Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters;Serotonin receptors","MAPK targets/ Nuclear events mediated by MAP kinases;ARMS-mediated activation;p38MAPK events;Nef Mediated CD4 Down-regulation;activated TAK1 mediates p38 MAPK activation;PI5P Regulates TP53 Acetylation;Initiation of Nuclear Envelope (NE) Reformation;Loss of Nlp from mitotic centrosomes","Activation of the AP-1 family of transcription factors",,1,"EOS100636","highly_toxic_no_replicates","cytotoxic_compact",4.787190176335774,,1,"C2386R3",-2.744955464723879,"KTUFNOKKBVMGRW-UHFFFAOYSA-N","Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1","C29H31N7O",493.614990234375,4.590320110321045,86.27999877929688,8,2,7,0,"CID5291","CHEMBL941","ZINC000019632618","InChI=1S/C29H31N7O/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34)"
"PD001944","EOS101630","B1005","BENZO[A]PYRENE","c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34","InChI=1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H","FMMWHPNWAFZXNH-UHFFFAOYSA-N",6,"192-97-2;42299-33-2;50-32-8;34505-58-3;6699-27-0","3,4-Benzopyrene;BENZO[a]PYRENE;BENZO[DEF]CHRYSENE",252.09,"Aryl hydrocarbon receptor;Cytochrome P450 1A2;Amine oxidase [flavin-containing] A;Tyrosine-protein kinase Fyn;Receptor tyrosine-protein kinase erbB-2;Acetylcholinesterase","AHR;CYP1A2;MAOA;FYN;ERBB2;ACHE","single protein",,"Enzyme;Transcription factor","Kinase;Cytochrome P450;Oxidoreductase;Hydrolase","Protein Kinase;Cytochrome P450 family 1","TK protein kinase group;Cytochrome P450 family 1A","Cytochrome P450 1A1;Tyrosine protein kinase Src family;Tyrosine protein kinase EGFR family","Tyrosine protein kinase SrcA","Enzymes;Receptors;Other protein targets","Catalytic receptors;Aryl hydrocarbon receptor;Cytochrome P450;Catecholamine turnover;Acetylcholine turnover","Receptor kinases;CYP1 family","TK: Tyrosine kinase","Non-receptor tyrosine kinases (nRTKs);Receptor tyrosine kinases (RTKs)","Src family;Type I RTKs: ErbB (epidermal growth factor) receptor family","Metabolism;Disease;Developmental Biology","Biological oxidations;Infectious disease;Nervous system development;Metabolism of lipids","Phase I - Functionalization of compounds;HIV Infection;Axon guidance;Phospholipid metabolism","Cytochrome P450 - arranged by substrate type;Amine Oxidase reactions;Host Interactions of HIV factors;Semaphorin interactions;Glycerophospholipid biosynthesis","Endogenous sterols;Xenobiotics;Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB;The role of Nef in HIV-1 replication and disease pathogenesis;Sema4D in semaphorin signaling;Synthesis of PC","Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2;Nef and signal transduction;Sema4D induced cell migration and growth-cone collapse",,,,6,"EOS101630","confirmed_hit","cytotoxic_compact",2.939141339812803,0.5170308930549509,4,"C2386R1,C2386R2,C2386R3,C2386R4",-2.887130614758972,"FMMWHPNWAFZXNH-UHFFFAOYSA-N","c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34","C20H12",252.3159942626953,5.737199783325195,0,0,0,0,1,"CID2336","CHEMBL31184","ZINC000001530818","InChI=1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H"
